자치구,2-6월 1차접종자,2-6월 2차접종자,7월말(누적) 1차접종자,7월말(누적) 2차접종자,8월말(누적) 1차접종자,8월말(누적) 2차접종자,9월말(누적) 1차접종자,9월말(누적) 2차접종자,10월말(누적) 1차접종자,10월말(누적) 2차접종자,10월말(누적) 추가접종
종로구,64067 ,28168 ,79113 ,40119 ,114242 ,67930 ,113892 ,74683 ,118945 ,112459 ,198 
중구,55134 ,18966 ,71425 ,27964 ,83716 ,48807 ,99187 ,63028 ,104060 ,97949 ,724 
용산구,65070 ,23205 ,82264 ,32113 ,122796 ,67814 ,173186 ,114336 ,180716 ,170709 ,184 
성동구,85252 ,29483 ,107896 ,38956 ,162919 ,87625 ,224883 ,144948 ,233290 ,221269 ,1710 
광진구,96935 ,32176 ,126826 ,42969 ,193076 ,102210 ,273100 ,169311 ,285027 ,268408 ,276 
동대문,108974 ,37645 ,135938 ,52197 ,197038 ,112812 ,266745 ,170090 ,278468 ,262492 ,301 
중랑구,121020 ,37202 ,151126 ,50930 ,224666 ,123305 ,305981 ,198802 ,318538 ,300751 ,1632 
성북구,123098 ,40628 ,157280 ,57198 ,234755 ,128638 ,331297 ,214061 ,345468 ,325879 ,956 
강북구,98512 ,30238 ,121981 ,42730 ,178134 ,100289 ,234629 ,155912 ,244260 ,230401 ,306 
도봉구,101938 ,31983 ,129750 ,44237 ,188046 ,104525 ,247847 ,169288 ,257277 ,244060 ,367 
노원구,154746 ,50128 ,202026 ,70246 ,297987 ,163457 ,391387 ,267977 ,405901 ,385016 ,1502 
은평구,143909 ,46604 ,182485 ,64942 ,269222 ,150492 ,362464 ,239320 ,376529 ,356542 ,763 
서대문,97631 ,36532 ,121744 ,50722 ,175291 ,100624 ,237837 ,154751 ,247248 ,233929 ,225 
마포구,92675 ,30702 ,122472 ,44918 ,190855 ,99319 ,282433 ,174709 ,293942 ,277168 ,236 
양천구,119022 ,34967 ,160721 ,50850 ,246591 ,126012 ,334434 ,224736 ,347776 ,329271 ,336 
강서구,170516 ,47166 ,217764 ,83338 ,318515 ,178373 ,438797 ,276327 ,457180 ,431076 ,248 
구로구,123988 ,41116 ,156509 ,55324 ,237077 ,127442 ,332696 ,210691 ,349617 ,329521 ,232 
금천구,71708 ,22328 ,89772 ,29804 ,151332 ,71922 ,197352 ,119634 ,207561 ,194939 ,100 
영등포,123349 ,46379 ,154146 ,62339 ,230109 ,127350 ,318804 ,199502 ,333221 ,314610 ,273 
동작구,114542 ,39505 ,146243 ,53589 ,215764 ,117701 ,303342 ,195646 ,314785 ,298095 ,1178 
관악구,134291 ,43821 ,170451 ,62316 ,255694 ,142706 ,392922 ,233183 ,411066 ,385016 ,535 
서초구,106142 ,37724 ,143279 ,53808 ,221425 ,117265 ,297304 ,201035 ,308550 ,292460 ,409 
강남구,146198 ,54474 ,193463 ,76580 ,284088 ,158466 ,379755 ,256243 ,397077 ,373874 ,628 
송파구,184886 ,59800 ,243642 ,84415 ,365958 ,196155 ,492895 ,328136 ,511695 ,484692 ,1459 
강동구,133555 ,40418 ,172492 ,57295 ,256541 ,138420 ,349390 ,229683 ,363004 ,343570 ,527 
